Code;Identification;Domaine;Famille d'instrument;Désignation;Type;Nombre d'éléments;Fournisseur;Prix d'achat;Date d'achat;Constructeur;Référence constructeur;N° de série;Mode de lecture;Particularité;Matière;Etat d'utilisation;Commentaire;Valeur nominale;Unité;Référentiel;Résolution;Désignation littérale;N° d'immobilisation;Code instrument;Gestionnaire;Statut;Ident. secondaire;Localisation temporaire;Unité de la résolution;Localisation
PLAST-60;CASS0011;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;15648;;;;Non soumis à l'étalonnage;;;;;;0 / 300 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0012;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;9189627;;;;Non soumis à l'étalonnage;;;;;;0 / 150 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / F. Menetrier
PLAST-60;CASS0013;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;15735;;;;Non soumis à l'étalonnage;;;;;;0 / 300 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0015;Dimensionnel;Variable;Trusquin;/;0;;;;SANS;SANS;1670-05;;;;Non soumis à l'étalonnage;;;;;;0 / 450 mm (Tol:± 0,060 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0016;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;G/11 10576;;;;Non soumis à l'étalonnage;;;;;;0 / 300 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0017;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;ROCH;;K/11 31696;;;;En service;;;;;;0 / 300 mm (Tol:± 0,060 mm);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0019;Electricité;Variable;Multimeter;Analogique et numérique;0;;;;SANS;SANS;NA;;;;Réformé;Suite au mail de Simon DELAHOCHE: du 05/01/2018: réformé l'instrument CASS0019.;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;A+MET-95 (BL n° electrique laboratoire);;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0020;Electricité;Variable;Current clamp meter;/;0;;;;Metrix;MX675;900949 KDF;;;;Non soumis à l'étalonnage;"Suite au mail:  05/01/2018 de Simon DELAHOCHE.

Mettre en moyen d'approche.

";;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0021;Temps-Fréquence;Variable;Chronometer;àdéclenchement manuel;0;;;;ihm;30 LAP STOPWATCH;SANS;;;;En service;;;;;;0/1 h (Tol:± 1 s);;;Service Calibration (TESTO);Etalon de référence;;;;METROLOGIE / zone calibration
PLAST-60;CASS0022;Electricité;Variable;Multimeter;Analogique et numérique;0;;;;SANS;SANS;10890146;;;;En service;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;PLAST-60 (BL n° TESTO002);;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0023;Electricité;Variable;Alimentation stabilisée;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;Approach Device (Tol:Approach Device);;;E.BOUCAUX;Instrument de mesure;;ASS-035 (Phoenix);;PROTOTYPE / ASS / ASS-035 (Phoenix)
PLAST-60;CASS0024;Electricité;Variable;Alimentation stabilisée;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;"
Instrument d'approche.          'Avant l'utilisation vérifier avec le multimètre étalonner si vous avez de la tension
";;;;;Approach Device (Tol:Approach Device);;;E.BOUCAUX;Instrument de mesure;;ASS-035 (Phoenix);;PROTOTYPE / ASS / ASS-035 (Phoenix)
PLAST-60;CASS0025;Masse;Variable;Scale;Numérique;0;;;;SArtorius;SANS;11405551;;;;Réformé;;;;;;50/6100 g (Tol:± 5 g);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-035 (Phoenix)
PLAST-60;CASS0026;Masse;Variable;Scale;Numérique;0;;;;SANS;SANS;2113366681;;;;Réformé;;;;;;;;;S.MARCHAL;Instrument de mesure;;;;PROTOTYPE / ASS / ETABLI
PLAST-60;CASS0027;Electricité;Variable;Multimeter;Analogique et numérique;0;;;;Fluke;117;20550506;;;;Alerte Etalonnage/Vérification;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / A. Soyer
PLAST-60;CASS0028;Couple;Variable;Trigger torque spanner;Réglable;0;;;;Sam;DYf200;sans;;;;En service;;;;;;40/200 N.m (Tol:±4 %);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0029;Pression;Variable;Testeur de fuite;/;0;;;;SANS;SANS;HLD1050697;;;;Réformé;;;;;;1,3E-09 / 2,5E-06mbar.L/s (Tol:± 20 %);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Zone ADM
PLAST-60;CASS0031;Electricité;Variable;Multimeter;Analogique et numérique;0;;;;SANS;SANS;non visible;;;;En service;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;PLAST-60 (BL n° TESTO002);;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0032;Couple;Variable;Trigger torque spanner;Réglable;0;;;;Sam;DYKC25;/;;;;En service;;;;;;5 / 25 N.m (Tol:± 4 %);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0033;Température;Variable;Temperature Display;/;0;;;;SANS;SANS;"198-5643
03140059";;;;Perdu;;;;;;0 / 1000 °C (Tol:± 2 °C);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0036;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Moyen d'approche;;ASS-002;;PROTOTYPE / ASS / ASS-002
PLAST-60;CASS0037;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-002;;PROTOTYPE / ASS / ASS-002
PLAST-60;CASS0038;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-002
PLAST-60;CASS0039;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-002;;PROTOTYPE / ASS / ASS-002
PLAST-60;CASS0040;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-002;;PROTOTYPE / ASS / ASS-002
PLAST-60;CASS0041;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-002;;PROTOTYPE / ASS / ASS-002
PLAST-60;CASS0050;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-004
PLAST-60;CASS0051;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-004
PLAST-60;CASS0056;Pression;Variable;Manomètre à aiguille;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/12bar (Tol:tolérance constructeur);;;E.BOUCAUX;Moyen d'approche;;ASS-004;;PROTOTYPE / ASS / ASS-004
PLAST-60;CASS0057;Pression;Variable; Manometer needle;Pression relative;0;;;;Festo;SDE1-D2-G2-R18-CP1-M8;192766;;;;En service;;;;;;0/2 bars (Tol:+/- 10 mbar);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-027
PLAST-60;CASS0058;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/1 bar (Tol:tolérance constructeur);;;E.BOUCAUX;Instrument de mesure;;ASS-027;;PROTOTYPE / ASS / ASS-027
PLAST-60;CASS0059;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-031
PLAST-60;CASS0060;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-031;;PROTOTYPE / ASS / ASS-031
PLAST-60;CASS0061;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-031;;PROTOTYPE / ASS / ASS-031
PLAST-60;CASS0062;Dimensionnel;Variable;Digital Axis;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-031;;PROTOTYPE / ASS / ASS-031
PLAST-60;CASS0063;Dimensionnel;Variable;Digital Axis;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-031;;PROTOTYPE / ASS / ASS-031
PLAST-60;CASS0064;Dimensionnel;Variable;Digital Axis;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-031;;PROTOTYPE / ASS / ASS-031
PLAST-60;CASS0065;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-032;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0066;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-032;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0067;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-032;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0068;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-032;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0075;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/+4 bars (Tol:tolérance constructeur);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0076;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/+4 bars (Tol:tolérance constructeur);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0077;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/+4 bars (Tol:tolérance constructeur);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0078;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/+4 bars (Tol:tolérance constructeur);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0079;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/+10 bars (Tol:tolérance constructeur);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0080;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/+10 bars (Tol:tolérance constructeur);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-032
PLAST-60;CASS0081;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-034;;PROTOTYPE / ASS / ASS-034
PLAST-60;CASS0082;Pression;Variable; Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-034;;PROTOTYPE / ASS / ASS-034
PLAST-60;CASS0083;Température;Variable;Chiller;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / ASS-034
PLAST-60;CASS0084;Dimensionnel;Variable;Laser;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / ASS-034
PLAST-60;CASS0085;Dimensionnel;Variable;Displacement sensor;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-034
PLAST-60;CASS0086;Pression;Variable;Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / ASS-038
PLAST-60;CASS0087;Pression;Variable;Manometer needle;Pression relative;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-038
PLAST-60;CASS0088;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-038
PLAST-60;CASS0089;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-038
PLAST-60;CASS0090;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-038;;PROTOTYPE / ASS / ASS-038
PLAST-60;CASS0091;Température;Variable;Temperature sensor;type J;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;/ (Tol:/);;;E.BOUCAUX;Instrument de mesure;;ASS-038;;PROTOTYPE / ASS / ASS-038
PLAST-60;CASS0110;Pression;Variable;Leak detectors;/;0;;;;Ateq;F520;173-4807;;;;En service;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;PLAST-60 (BL n° TESTO002);;PROTOTYPE / ASS / Zone ADM
PLAST-60;CASS0111;Pression;Variable;Leak detectors;/;0;;;;Ateq;F520;173-7884;;;;Envoi Etalonnage/Vérification en cours;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;TESTO-23 (BL n° 0603);;PROTOTYPE / ASS / Zone ADM
PLAST-60;CASS0112;Pression;Variable;Pressure sensor;/;0;;;;SANS;SANS;SANS;;;;Sommeil;;;;;;0/10 bar (Tol:± 30 mbar);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / ASS-035 (Phoenix)
PLAST-60;CASS0113;Couple;Variable;Trigger torque spanner;Réglable;0;;;;SANS;SANS;sans;;;;Réformé;;;;;;;;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0114;Electricité;Variable;Current clamp meter;/;0;;;;Fluke;322;20780597;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / s. DELAOCHE
PLAST-60;CASS0115;Couple;Variable;Trigger torque spanner;Réglable;0;;;;SAM;DYK200;sans;;;;En service;;;;;;40/200 Nm (Tol:± 4 %);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0116;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;sans;;;;Non soumis à l'étalonnage;;;;;;0 / 150 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / U. Koenig
PLAST-60;CASS0117;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;sans;;;;Non soumis à l'étalonnage;;;;;;0 / 200 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0118;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;sans;;;;Non soumis à l'étalonnage;;;;;;0 / 300 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0119;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;sans;;;;Non soumis à l'étalonnage;;;;;;0 / 350 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0120;Dimensionnel;Variable;Depth gauge;àcoulisseau;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0 / 300 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0121;Dimensionnel;Variable;Micrometer Outside;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0 / 90 (Tol:± 0,1 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0122;Dimensionnel;Variable;Micrometer Outside;/;0;Prestataire 01;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;75 / 100 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0123;Dimensionnel;Variable;Micrometer Outside;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;50 / 75 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0124;Dimensionnel;Variable;Micrometer Outside;/;0;;;;SANS;SANS;SANS;;;;Envoi Etalonnage/Vérification en cours;;;;;;25 / 50 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Instrument de mesure;;TESTO-23 (BL n° 0603);;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0125;Dimensionnel;Variable;Micrometer Outside;/;0;;;;SANS;SANS;SANS;;;;Envoi Etalonnage/Vérification en cours;;;;;;0 / 25 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Instrument de mesure;;TESTO-23 (BL n° 0603);;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0126;Dimensionnel;Variable;Trusquin;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0 / 300 mm (Tol:± 0,050 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0127;Dimensionnel;Variable;Depth gauge;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0 / 300 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0129;Pression;Variable;Leak detectors;Hydrogene;0;;;;TRACE 100;TRACE 100;1305-TRACE100-000-003;;;;En service;;;;;;200 ppm (Tol:±20 ppm);;;R.GRIMEAU;Instrument de mesure;;;;LABORATOIRE DEVELOPPEMENT / MET / Armoire Basse
PLAST-60;CASS0130;Couple;Variable;Trigger torque spanner;Réglable;0;;;;Plarad;;2242329;;;;Réformé;;;;;;1/5 Nm (Tol:±4%);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0131;Pression;Variable;Manometer needle;Pression relative;0;;;;SIKA;SANS;150302781;;;;Réformé;;400;mbar;;0;-200 / 400 mbar;;;S.MARCHAL;Instrument de mesure;;;mbar;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0132;Débit;Variable;Flowmeter;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Zone ADM
PLAST-60;CASS0133;Temps-Fréquence;Variable;Chronometer;àdéclenchement manuel;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/1 h (Tol:± 1 s);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / s. DELAOCHE
PLAST-60;CASS0134;Pression;Variable;Manometer needle;Pression relative;0;;;;SIKA;-200/400 MBAR;125001491;;;;Réformé;;;;;;-200 /+400 mbar (Tol:± 9,6 mbar);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Banc dépression
PLAST-60;CASS0135;Dimensionnel;Variable;Lever Comparator;/;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/0,8mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / Y. Souply
PLAST-60;CASS0136;Electricité;Variable;Insulation tester;/;0;;;;SANS;SANS;SANS;;;;Perdu;;;;;;According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);;;E.BOUCAUX;Instrument de mesure;;TESTO-23 (BL n° 0603);;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0137;Temps-Fréquence;Variable;Chronometer;àdéclenchement manuel;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/1 h (Tol:± 1 s);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / F. Menetrier
PLAST-60;CASS0138;Temps-Fréquence;Variable;Chronometer;àdéclenchement manuel;0;;;;SANS;SANS;SANS;;;;Perdu;;;;;;0/1 h (Tol:± 1 s);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / H. Parmentier
PLAST-60;CASS0139;Temps-Fréquence;Variable;Chronometer;àdéclenchement manuel;0;;;;SANS;SANS;SANS;;;;Non soumis à l'étalonnage;;;;;;0/1 h (Tol:± 1 s);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / A. Soyer
