Affectation;Sous-Affectation;Désignation;Informations liées (Identification, Désignation, N° de série);Identification;Gamme;Tolérance;Avis;Etat d'utilisation;Date d'intervention;Prochaine date d'intervention;Périodicité;N° de série;Commentaire
ASS;ZONE ADM;Détecteur de fuite;;CASS0129;200 ppm;±20 ppm;Conforme;Etalonnage/Vérification en cours;01/09/2021 00:00:00;01/09/2022 00:00:00;12 Mois;1305-TRACE100-000-003;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0130;1/5 Nm;±4%;;Réformé;;;;2242329;
ASS;ARMOIRE;Manomètre à aiguille;;CASS0131;;-200 / 400 mbar;;Réformé;;;;150302781;
ASS;ZONE ADM;Débitmètre;;CASS0132;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;S. DELAOCHE;Chronomètre;;CASS0133;0/1 h;± 1 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;BANC DÉPRESSION;Manomètre à aiguille;;CASS0134;-200 /+400 mbar;± 9,6 mbar;;Réformé;;;;125001491;
ASS;Y. SOUPLY;Comparateur à levier;;CASS0135;0/0,8mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;SANS;
ASS;ARMOIRE;Controleur d'isolement;;CASS0136;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Perdu;;;;SANS;
ASS;F. MENETRIER;Chronomètre;;CASS0137;0/1 h;± 1 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;H. PARMENTIER;Chronomètre;;CASS0138;0/1 h;± 1 s;;Perdu;;;;SANS;
ASS;A. SOYER;Chronomètre;;CASS0139;0/1 h;± 1 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;JY. L'HERMITE;Chronomètre;;CASS0140;0/1 h;± 1 s;;Réformé;;;;SANS;
ASS;P. MERANDET;Chronomètre;;CASS0141;0/1 h;± 1 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;U. KOENIG;Chronomètre;;CASS0142;0/1 h;± 1 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;D. MOSCIPAN;Chronomètre;;CASS0143;0/1 h;± 1 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;G. THIANT;Chronomètre;;CASS0144;0/1 h;± 1 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;ARMOIRE;Rapporteur d'angle;;CASS0145;0/180°;±0,33;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-027;Chronomètre;;CASS0146;35 s;± 0,13 s;;Non soumis à l'étalonnage;;;;SANS;
ASS;BANC PHEONIX ADM;Débitmètre;;CASS0147;According Manufacturer SpecTo be defined;± 6%;;Non soumis à l'étalonnage;;;;M9203848A;
ASS;BANC PHEONIX ADM;Débitmètre;;CASS0149;According Manufacturer SpecTo be defined;± 6%;Conforme;Sommeil;09/05/2018 14:37:44;;24 Mois;SANS;
ASS;ASS-002;Sonde de température;;CASS0150;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ARMOIRE;Multimètre;;CASS0151;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;En service;22/07/2022 11:43:24;22/07/2024 11:43:24;24 Mois;SANS;
ASS;ARMOIRE;Multimètre;;CASS0152;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;11/12/2020 00:00:00;11/12/2022 00:00:00;24 Mois;140426669;
ASS;ZONE ADM;Enceinte thermostatique;;CASS0153;40°C;+/- 3°C;;Réformé;;;;901412;
ASS;PROTO;Four;;CASS0154;/;/;;Non soumis à l'étalonnage;;;;;
ASS;ARMOIRE;Sonde de température;Identification : CASS0166, N° de Série : 337111083/511;CASS0155;40/300°C;± 1°C;Conforme;En service;02/06/2021 00:00:00;02/06/2023 00:00:00;24 Mois;SANS;
ASS;ZONE ADM;Sonde de température;;CASS0156;-40/+100 °C;± 2 °C;;Perdu;;;;SANS;
ASS;H. PARMENTIER;Chronomètre;;CASS0157;0/1 h;± 1 s;;Perdu;;;;/;
ASS;ARMOIRE;Capteur de pression;;CASS0158;-500/+500 mbar;± 2 mbar;;Perdu;;;;4113393;
ASS;ZONE ADM;NI 9215;;CASS0159;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;1B8E66C0;
ASS;ZONE ADM;NI 9211;;CASS0160;-80/80 mV;± 0,06% RV;;Non soumis à l'étalonnage;;;;1B8B761;
ASS;ZONE ADM;NI CDAQ 9174;;CASS0161;/;/;;Réformé;;;;1B80838;
ASS;ERIC GERARD;Sonde de température;;CASS0162;-40/+100 °C;± 2 °C;;Non soumis à l'étalonnage;;;;SANS;
ASS;ERIC GERARD;Chaîne de mesure de température;;CASS0163;-40/+125 °C;± 1 °C;;Non soumis à l'étalonnage;;;;SANS;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0164;5/25Nm;± 4 %;Conforme;En service;22/08/2022 00:00:00;22/08/2023 00:00:00;12 Mois;sans;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0165;40/200Nm;± 6 %;Conforme;Sommeil;18/07/2019 00:00:00;18/07/2022 00:00:00;36 Mois;sans;
ASS;ARMOIRE;Afficheur de température;;CASS0166;-50/1000°C;± 1,5°C;;Non soumis à l'étalonnage;;;;337111083/511;
ASS;ADM (BANC EOL);Alimentation stabilisée;;CASS0167;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;ARMOIRE;Jauge de profondeur;;CASS0168;0/300 mm;± 0,1 mm;;Non soumis à l'étalonnage;;;;SANS;
ASS;ARMOIRE;Pied à coulisse;;CASS0169;0/300mm;± 0,1 mm;;Non soumis à l'étalonnage;;;;sans;
ASS;ZONE ADM;Détecteur de fuite;;CASS0170;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;En service;26/04/2021 00:00:00;26/04/2023 00:00:00;24 Mois;283-2284;
ASS;ZONE ADM;Visseuse;;CASS0171;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;08/12/2020 00:00:00;08/12/2022 00:00:00;24 Mois;A8740551;
ASS;ZONE ADM;Visseuse;;CASS0172;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Réformé;;;;A8742093;
ASS;ZONE ADM;/;;CASS0173;/;/;;Non soumis à l'étalonnage;;;;Fisnar F5200N;
ASS;ZONE ADM;/;;CASS0174;/;/;;Non soumis à l'étalonnage;;;;Fisnar JBE-1113-LF;
ASS;ASS-002;Thermocouple;;CASS0175;/;/;;Non soumis à l'étalonnage;;;;;
ASS;ZONE ADM;Balance;;CASS0176;0/ 3Kg;± 0,5g;Conforme;En service;11/01/2021 11:03:28;11/01/2023 11:03:28;24 Mois;WD160057170;
ASS;ARMOIRE;Alimentation stabilisée;;CASS0177;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;;
ASS;ARMOIRE;Alimentation stabilisée;;CASS0178;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;;
ASS;BANC ADM;Débitmètre;;CASS0179;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Réformé;;;;01B70900073;
ASS;S,DELAHOCHE;Pied à coulisse;;CASS0180;0 / 150 mm;± 0,020 mm;;Non soumis à l'étalonnage;;;;314810;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0181;6/30 Nm;± 2%;Conforme;En service;07/06/2022 10:20:30;07/06/2025 10:20:30;36 Mois;T 12 0039;
ASS;ARMOIRE;Sonde de température;;CASS0182;15/300°C;± 1°C;;Réformé;;;;41731258;
ASS;S. DELAOCHE;Sonde de température;;CASS0183;15/300°C;± 1°C;Conforme;En service;08/03/2022 00:00:00;08/03/2024 00:00:00;24 Mois;41731281;
ASS;ARMOIRE;Manomètre numérique;;CASS0184;-1/+10 bar;± 10 mbar;Conforme;En service;27/04/2022 00:00:00;27/04/2024 00:00:00;24 Mois;64942;
ASS;BANC PRESSION;Multimètre;;CASS0185;gammes constructeur;tolérance constructeur;Conforme;En service;27/04/2022 00:00:00;27/04/2024 00:00:00;24 Mois;40372588WS;
ASS;P. MERANDET;Pied à coulisse;;CASS0186;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;GK304260;
ASS;REGIS.HUTIN;Pied à coulisse;;CASS0187;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;GK315579;
ASS;V.ROGER;Pied à coulisse;;CASS0188;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;GK315684;
ASS;Y. SOUPLY;Bague;;CASS0189;64,001  mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;/;
ASS;Y. SOUPLY;Bague;;CASS0190;75,0006  mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;/;
ASS;Y. SOUPLY;Micrometre intérieur;;CASS0191;51/ 77  mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;/;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0192;20/200 N.m;±4% ;Conforme;En service;26/07/2022 15:03:24;26/07/2024 15:03:24;24 Mois;174901;
SCR;SCR-002;Stabilized power supply;;CASS0193;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;/;
ASS;Y,SOUPPLY;Pied à coulisse;;CASS0194;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;;
ASS;Y,SOUPPLY;Pied à coulisse;;CASS0195;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;0037041;
ASS;S,DELAHOCHE;V.A.T;;CASS0196;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;SANS;
ASS;Y,SOUPPLY;Jeu de Cales etalons;;CASS0197;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;;
ASS;Y,SOUPPLY;thermocouple;"Identification : CASS0160, N° de Série : 1B8B761
Identification : CASS0161, N° de Série : 1B80838";CASS0198;0/ 100 °C;±2 °C;;Perdu;;;;;
ASS;ADM;thermocouple;"Identification : CASS0161, N° de Série : 1B80838
Identification : CASS0160, N° de Série : 1B8B761";CASS0199;0/ 100 °C;±2 °C;;Perdu;;;;;
ASS;ARMOIRE;Capteur de force;"Identification : CASS0160, N° de Série : 1B8B761
Identification : CASS0161, N° de Série : 1B80838";CASS0200;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;2665;
ASS;ARMOIRE;Capteur de force;"Identification : CASS0161, N° de Série : 1B80838
Identification : CASS0160, N° de Série : 1B8B761";CASS0201;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;2666;
ASS;ADM;Multimètre;"Identification : CASS0160, N° de Série : 1B8B761
Identification : CASS0161, N° de Série : 1B80838";CASS0202;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;3594.4821.02;
ASS;ADM;Balance;"Identification : CASS0161, N° de Série : 1B80838
Identification : CASS0160, N° de Série : 1B8B761";CASS0203;1/ 500 g;±0,1 g;;Réformé;;;;W2003811;
ASS;;Megohmmeter;;CASS0204;According Manufacturer Spec;±3 %RV;Conforme;En service;06/05/2021 00:00:00;06/05/2024 00:00:00;36 Mois;1006340102105529;
ASS;ZONE ADM;Visseuse;;CASS0205;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Sommeil;;;;;
ASS;ZONE ADM;Détecteur de fuite;;CASS0206;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Réformé;;;;;
ASS;ARMOIRE;Sonde de température;;CASS0207;0/300°C;± 1°C;Conforme;En service;28/12/2021 00:00:00;28/12/2023 00:00:00;24 Mois;41763571;
ASS;ARMOIRE;Sonde de température;;CASS0208;0/300°C;± 1°C;Conforme;Sommeil;28/12/2021 00:00:00;28/12/2022 00:00:00;12 Mois;41763565;
ASS;ARMOIRE;Multimètre;;CASS0209;;/;;Non soumis à l'étalonnage;;;;;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0001;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0002;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0003;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0004;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0005;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0006;180°C /+200 °C;± 7 °C;;Réformé;;;;SANS;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0007;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS A (BROYÉ);Sonde de température;;CBMG0008;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS F (EVOH);Sonde de température;;CBMG0009;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS F (EVOH);Sonde de température;;CBMG0010;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS F (EVOH);Sonde de température;;CBMG0011;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS F (EVOH);Sonde de température;;CBMG0012;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS F (EVOH);Sonde de température;;CBMG0013;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS F (EVOH);Sonde de température;;CBMG0014;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS F (EVOH);Sonde de température;;CBMG0015;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS E (ADHÉSIF);Sonde de température;;CBMG0016;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS E (ADHÉSIF);Sonde de température;;CBMG0017;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS E (ADHÉSIF);Sonde de température;;CBMG0018;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS E (ADHÉSIF);Sonde de température;;CBMG0019;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS E (ADHÉSIF);Sonde de température;;CBMG0020;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS E (ADHÉSIF);Sonde de température;;CBMG0021;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS B (VIERGE);Sonde de température;;CBMG0022;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS B (VIERGE);Sonde de température;;CBMG0023;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS B (VIERGE);Sonde de température;;CBMG0024;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
BMG;VIS B (VIERGE);Sonde de température;;CBMG0025;180°C /+200 °C;± 7 °C;;Non soumis à l'étalonnage;;;;SANS;
