Code;Identification;Désignation complète;Avis
PLAST-60;CASS0111;Leak detectors / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0112;Pressure sensor / 0/10 bar (Tol:± 30 mbar);Conforme
PLAST-60;CASS0113;Trigger torque spanner Réglable ;Voir résultats dans Certificat
PLAST-60;CASS0114;Current clamp meter / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0115;Trigger torque spanner Réglable 40/200 Nm (Tol:± 4 %);Conforme
PLAST-60;CASS0116;Vernier caliper Universel 0 / 150 mm (Tol:± 0,01 mm);
PLAST-60;CASS0117;Vernier caliper Universel 0 / 200 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0118;Vernier caliper Universel 0 / 300 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0119;Vernier caliper Universel 0 / 350 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0120;Depth gauge àcoulisseau 0 / 300 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0121;Micrometer Outside / 0 / 90 (Tol:± 0,1 mm);Conforme
PLAST-60;CASS0122;Micrometer Outside / 75 / 100 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0123;Micrometer Outside / 50 / 75 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0124;Micrometer Outside / 25 / 50 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0125;Micrometer Outside / 0 / 25 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0126;Trusquin / 0 / 300 mm (Tol:± 0,050 mm);Conforme
PLAST-60;CASS0127;Depth gauge / 0 / 300 mm (Tol:± 0,01 mm);Voir résultats dans Certificat
PLAST-60;CASS0129;Leak detectors Hydrogene 200 ppm (Tol:±20 ppm);Conforme
PLAST-60;CASS0130;Trigger torque spanner Réglable 1/5 Nm (Tol:±4%);Non conforme
PLAST-60;CASS0131;Manometer needle Pression relative -200 / 400 mbar;Conforme
PLAST-60;CASS0133;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0134;Manometer needle Pression relative -200 /+400 mbar (Tol:± 9,6 mbar);Non conforme
PLAST-60;CASS0135;Lever Comparator / 0/0,8mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0136;Insulation tester / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0137;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0138;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0139;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0140;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Voir résultats dans Certificat
PLAST-60;CASS0141;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0142;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0143;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0144;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0145;Angle propactor / 0/180° (Tol:±0,33);Voir documents
PLAST-60;CASS0146;Chronometer àdéclenchement manuel 35 s (Tol:± 0,13 s);Voir résultats dans Certificat
PLAST-60;CASS0147;Flowmeter / According Manufacturer SpecTo be defined (Tol:± 6%);Conforme
PLAST-60;CASS0149;Débitmeter / According Manufacturer SpecTo be defined (Tol:± 6%);Conforme
PLAST-60;CASS0151;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0152;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0153;Thermostatic chamber / 40°C (Tol:+/- 3°C);Conforme
PLAST-60;CASS0155;Temperature sensor ? contact 40/300°C (Tol:± 1°C);Conforme
PLAST-60;CASS0156;Temperature sensor type K -40/+100 °C (Tol:± 2 °C);Conforme
PLAST-60;CASS0157;Chronometer / 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0158;Pressure sensor / -500/+500 mbar (Tol:± 2 mbar);Voir résultats dans Certificat
PLAST-60;CASS0159;NI 9215 / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0160;NI 9211 / -80/80 mV (Tol:± 0,06% RV);Conforme
PLAST-60;CASS0164;Trigger torque spanner Réglable 5/25Nm (Tol:± 4 %);Conforme
PLAST-60;CASS0165;Trigger torque spanner Réglable 40/200Nm (Tol:± 6 %);Conforme
PLAST-60;CASS0166;Display Temperature / -50/1000°C (Tol:± 1,5°C);Conforme
PLAST-60;CASS0167;Stabilised power supply / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0168;depth gauge àcoulisseau 0/300 mm (Tol:± 0,1 mm);Conforme
PLAST-60;CASS0169;Vernier caliper Universel 0/300mm (Tol:± 0,1 mm);Conforme
PLAST-60;CASS0170;Leak detectors / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0171;Screwing machine / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0172;Screwing machine / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0176;Scale Numérique 0/ 3Kg (Tol:± 0,5g);Conforme
PLAST-60;CASS0179;Flowmeter / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0180;Vernier caliper Universel 0 / 150 mm (Tol:± 0,020 mm);Conforme
PLAST-60;CASS0181;trigger torsque spanner Réglable 6/30 Nm (Tol:± 2%);Conforme
PLAST-60;CASS0182;Temperature sensor ? contact 15/300°C (Tol:± 1°C);Conforme
PLAST-60;CASS0183;Temperature sensor ? contact 15/300°C (Tol:± 1°C);Conforme
PLAST-60;CASS0184;Digital manometer / -1/+10 bar (Tol:± 10 mbar);Conforme
PLAST-60;CASS0185;Multimeter / gammes constructeur (Tol:tolérance constructeur);Conforme
PLAST-60;CASS0192;Trigger torque spanner Réglable 20/200 N.m (Tol:±4% );Conforme
PLAST-60;CASS0198;thermocouple k 0/ 100 °C (Tol:±2 °C);Conforme
PLAST-60;CASS0199;thermocouple k 0/ 100 °C (Tol:±2 °C);Conforme
PLAST-60;CASS0200;Force sensor / Approach Device (Tol:Approach Device);Conforme
PLAST-60;CASS0201;Force sensor / Approach Device (Tol:Approach Device);Conforme
PLAST-60;CASS0203;scale / 1/ 500 g (Tol:±0,1 g);Conforme
PLAST-60;CASS0204;Megohmmeter - According Manufacturer Spec (Tol:±3 %RV);Conforme
PLAST-60;CASS0207;Temperature sensor ? contact 0/300°C (Tol:± 1°C);Conforme
PLAST-60;CASS0208;Température sensor ? contact 0/300°C (Tol:± 1°C);Conforme
PLAST-60;CBMG0001;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0002;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0003;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Voir document
PLAST-60;CBMG0004;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0005;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0006;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Non conforme
PLAST-60;CBMG0007;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0008;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0009;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0010;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0011;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0012;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0013;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0014;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0015;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0016;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0017;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0018;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0019;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0020;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0021;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0022;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0023;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0024;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0025;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0026;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0027;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0028;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0029;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0030;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0031;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0032;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0033;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0034;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0035;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0036;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0037;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0038;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0039;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CBMG0040;Manometer needle Pression relative 0/+16 bar (Tol:±1,6% RV);Conforme
PLAST-60;CBMG0041;Manometer needle Pression relative 0/+16 bar (Tol:±1,6% RV);Conforme
PLAST-60;CBMG0042;Manometer needle Pression relative 0/+16 bar (Tol:± 1% RV);Conforme
PLAST-60;CBMG0043;Manometer needle Pression relative 0/+16 bar (Tol:± 1% RV);Conforme
PLAST-60;CBMG0044;Manometer needle Pression relative 0/+16 bar (Tol:± 1% RV);Conforme
PLAST-60;CBMG0045;Manometer needle Pression relative 0/+16 bar (Tol:±1,6% RV);Conforme
PLAST-60;CBMG0046;Manometer needle Pression relative 0/+16 bar (Tol:±1,6% RV);Conforme
PLAST-60;CBMG0047;Manometer needle Pression relative 0/+16 bar (Tol:±1,6% RV);Conforme
PLAST-60;CBMG0048;Manometer needle Pression relative 0/+16 bar (Tol:±1,6% RV);Conforme
PLAST-60;CBMG0049;Manometer needle Pression relative 0/+25 bar (Tol:±0,5 bar);Voir résultats dans Certificat
PLAST-60;CBMG0050;Tempeature sensor type J According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CBMG0051;Temperature sensor type J According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CBMG0052;Temperature regulator / 25/+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0053;Temperature regulator / 25/+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0054;Temperature regulator / 25/+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0055;Temperature regulator / 25/+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0056;Temperature regulator / 25/+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0057;Temperature regulator / 25/+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0058;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0059;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0060;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0061;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0062;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0063;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Voir résultats dans Certificat
PLAST-60;CBMG0065;Pressure measurement chain / / (Tol:/);Voir résultats dans Certificat
PLAST-60;CBMG0076;Temprature measurement chain / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CBMG0081;Temprature measurement chain / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CBMG0082;Temprature measurement chain / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CBMG0083;Pressure sensor / -1/10 Bar (Tol:+/- 0,5% RV);Conforme
PLAST-60;CBMG0088;Pressure sensor / 0/25 bars (Tol:+/- 0,2 bar);Conforme
PLAST-60;CBMG0089;Pressure sensor / 0/25 bars (Tol:+/- 0,2 bar);Conforme
PLAST-60;CBMG0090;Pressure sensor / 0/25 bars (Tol:+/- 0,2 bar);Conforme
PLAST-60;CBMG0091;Pressure sensor / 0/25 bars (Tol:+/- 0,2 bar);Conforme
PLAST-60;CBMG0092;Pressure sensor / -1/10 Bar (Tol:+/- 0,5% RV);Conforme
PLAST-60;CBMG0093;Pressure sensor / -1/10 Bar (Tol:+/- 0,5% RV);Conforme
PLAST-60;CBMG0096;scale Numérique 0 / 50 kg  (Tol:±100g);Conforme
PLAST-60;CBMG0097;scale / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CBMG0098;Temprature measurement chain / 40/160°C (Tol:+/- 2°C);Conforme
PLAST-60;CBMG0099;Temprature measurement chain / 40/160°C (Tol:+/- 2°C);Conforme
PLAST-60;CBMG0101;Level sensor / / (Tol:/);Voir résultats dans Certificat
PLAST-60;CBMG0102;Temprature measurement chain / 40/ +80°C (Tol:+/- 2°C);Conforme
PLAST-60;CBMG0105;Vernier caliper Universel 0/ 300mm (Tol:tolérance constructeur);Conforme
PLAST-60;CBMG0108;Mass standard / 1kg (M) 2 kg (M1) 2 kg (M2) (Tol:tolérance constructeur);Conforme
PLAST-60;CBMG0109;Pressure sensor / -1/10 Bar (Tol:+/- 0,5% RV);Conforme
PLAST-60;CBMG0110;Pressure sensor / -1/10 Bar (Tol:+/- 0,5% RV);Conforme
PLAST-60;CBMG0111;Temperature sensor type J 180°C /+200 °C (Tol:± 7 °C);Conforme
PLAST-60;CCAL0002;Oscilloscope / GAMME CONSTRUCTEUR (Tol: TOLERANCE CONSTRUCTEUR);Conforme
PLAST-60;CCAL0003;stabilised power supply /  GAMME CONSTRUCTEUR (Tol: TOLERANCE CONSTRUCTEUR);Conforme
PLAST-60;CCAL0004;stabilised power supply - 0/5V0/30V (Tol:5V +/-5%30V +/-5%);Conforme
PLAST-60;CCAL0005;stabilised power supply - 0/5V0/30V (Tol:5V +/- 5%30V +/-5%);Non conforme
PLAST-60;CCAL0006;stabilised power supply - 0/5V 0/30V (Tol:5V +/- 5%30V +/-5%);Non conforme
PLAST-60;CCAL0007;stabilised power supply - 0/5V0/30V (Tol:5V +/- 5%30V +/-5%);Conforme
PLAST-60;CCAL0008;stabilised power supply - 0/5V0/30V (Tol:5V +/- 5%30V +/-5%);Conforme
PLAST-60;CCAL0009;Current clamp meter / 0/30A (Tol:0/30A +/- 1%);Conforme
PLAST-60;CCAL0010;Current clamp meter / 0/30A (Tol:+/- 0,37A);Conforme
PLAST-60;CCAL0011;Current clamp meter / 0/30A (Tol:+/- 0,37A);Conforme
PLAST-60;CCAL0012;Current clamp meter / 0/30A (Tol:+/- 0,37A);Conforme
PLAST-60;CCAL0013;Current clamp meter / 0/30A (Tol:+/- 0,37A);Conforme
PLAST-60;CCAL0014;Current clamp meter / 0/30A (Tol:+/- 0,37A);Conforme
PLAST-60;CCAL0015;Pressure sensor / 0/10 bar (Tol:+/- 0,1% FS);Non conforme
PLAST-60;CCAL0016;Pressure sensor / 0/10 bar (Tol:+/- 0,1% FS);Non conforme
PLAST-60;CCAL0017;Pressure sensor / 0/10 bar (Tol:+/- 0,1% FS);Non conforme
PLAST-60;CCAL0018;Pressure sensor / 0/10 bar (Tol:+/- 0,1% FS);Conforme
PLAST-60;CCAL0019;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0020;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0021;stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0022;stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0023;stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0024;stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0034;Communication tool  CAN / compact DAQ (Tol:tolérance constructeur);
PLAST-60;CCAL0035;"NI 9219 / -60/60 V; -15/15 V; -4/4 V-1/1 V; -125/125 mV-25/25 mA1kOhm ; 10 kOhm± 125 mV (Temp) (Tol:± 0,3% RV± 0,1% RV± 0,1% RV± 0,1% RV± 0,2% RV)";Conforme
PLAST-60;CCAL0036;NI 9401 / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CCAL0037;"NI 9219 / -60/60 V; -15/15 V; -4/4 V-1/1 V; -125/125 mV-25/25 mA1kOhm ; 10 kOhm± 125 mV (Temp) (Tol:± 0,3% RV± 0,1% RV± 0,1% RV± 0,1% RV± 0,2% RV)";Conforme avec restriction
PLAST-60;CCAL0038;Communication tool  CAN / compact DAQ (Tol:compact DAQ);Conforme
PLAST-60;CCAL0039;ni 9263 - compact DAQ (Tol:compact DAQ);Conforme
PLAST-60;CCAL0040;NI 9401 / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CCAL0042;NI 9401 / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CCAL0043;"NI 9219 / -60/60 V; -15/15 V; -4/4 V-1/1 V; -125/125 mV-25/25 mA1kOhm ; 10 kOhm± 125 mV (Temp) (Tol:± 0,3% RV± 0,1% RV± 0,1% RV± 0,1% RV± 0,2% RV)";Conforme
PLAST-60;CCAL0044;NI 9215 / compact DAQ (Tol:+/-0,2%.U+0,003 V);Conforme
PLAST-60;CCAL0045;ni 9263 / compact DAQ (Tol:tolérance constructeur);Conforme
PLAST-60;CCAL0047;Communication tool  CAN / ± 10V (Tol:± 0,1% RV);Conforme
PLAST-60;CCAL0048;"Communication tool  CAN / -60/60 V; -15/15 V; -4/4 V-1/1 V; -125/125 mV-25/25 mA1kOhm ; 10 kOhm± 125 mV (Temp) (Tol:± 0,3% RV± 0,1% RV± 0,1% RV± 0,1% RV± 0,2% RV)";Conforme
PLAST-60;CCAL0049;NI 9401 / gammes constructeur (Tol:tolérance constructeur);Voir résultats dans Certificat
PLAST-60;CCAL0050;Electrics charge / 0,1/100 ohms (Tol:Resistance mode +/- 0,5%);Conforme
PLAST-60;CCAL0051;Electrics charge / 0,1/100 ohms (Tol:Resistance mode +/- 0,5%);Conforme
PLAST-60;CCAL0052;Electrics charge / 0,1/100 ohms (Tol:Resistance mode +/- 0,5%);Conforme
PLAST-60;CCAL0053;Electrics charge / 0,1/100 ohms (Tol:Resistance mode +/- 0,5%);Conforme
PLAST-60;CCAL0054;Pressure sensor / 0/10 bar (Tol:+/- 0,1% FS);Conforme
PLAST-60;CCAL0058;Climatic chamber / -40/45°C (Tol:± 2°C);Conforme
PLAST-60;CCAL0059;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0060;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0061;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0062;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0063;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Non conforme
PLAST-60;CCAL0064;Stabilised power supply / 0/45V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0065;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0066;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0067;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0068;Stabilised power supply / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0070;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);
PLAST-60;CCAL0072;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0073;clamp ammeter / 0/30A (Tol:0/30A +/- 1%);
PLAST-60;CCAL0080;Stabilised power supply / TOE 8825 (Tol:REVOIR TOLERANCE CONSTRUCTEUR);Voir résultats dans Certificat
PLAST-60;CCAL0081;Oscilloscope / DLM2024 (Tol:REVOIR TOLERANCE CONSTRUCTEUR);Conforme
PLAST-60;CCAL0082;Oscilloscope / DLM2024 (Tol:REVOIR TOLERANCE CONSTRUCTEUR);Conforme
